id,polygon_type,n,algo,time,total_elength,mean_elength,total_dlength,mean_dlength,max_dlength,min_dlength,norm_dlength,norm_max_dlength,norm_min_dlength
random_polygon_70_0019,random,70,optimal_minimax,0.00876466603949666,11.188988370284497,0.15984269100406423,10.999922532442259,0.16417794824540685,0.3637374782050912,0.025974106464633617,1.0271220236227905,2.2755965625969266,0.16249793031808496
random_polygon_70_0019,random,70,optimal_maximin,0.008897750172764063,11.188988370284497,0.15984269100406423,16.279431310540254,0.24297658672448139,0.6499221307496593,0.025974106464633617,1.5200981990368478,4.066010942803348,0.16249793031808496
random_polygon_75_0000,random,75,ear_clipping,0.004480624571442604,11.39824444158234,0.15197659255443122,15.18504842486108,0.2109034503452928,0.558420978962985,0.012987822889661046,1.3877364059847348,3.674388072380183,0.08545936365173729
random_polygon_75_0000,random,75,optimal_minsum,0.015054041054099798,11.39824444158234,0.15197659255443122,9.237961495783605,0.1283050207747723,0.45428482869505254,0.012987822889661046,0.8442419889682629,2.9891763005039613,0.08545936365173729
random_polygon_75_0000,random,75,optimal_minimax,0.015189625322818756,11.39824444158234,0.15197659255443122,10.518460644883127,0.1460897311789323,0.45428482869505254,0.012987822889661046,0.9612646837479891,2.9891763005039613,0.08545936365173729
random_polygon_75_0000,random,75,optimal_maximin,0.015329999849200249,11.39824444158234,0.15197659255443122,15.203729440986534,0.21116290890259073,0.5848230901837537,0.012987822889661046,1.3894436330842306,3.848112925510527,0.08545936365173729
random_polygon_75_0001,random,75,ear_clipping,0.004382832907140255,12.909971268363293,0.1721329502448439,15.55856870268988,0.2160912319818039,0.715260010208529,0.03662622588037564,1.2553740098826707,4.155276541714616,0.21277870290538836
random_polygon_75_0001,random,75,optimal_minsum,0.009485333226621151,12.909971268363293,0.1721329502448439,9.866600445032956,0.1370361172921244,0.36576628798741834,0.026777938085778573,0.7961062486711733,2.1249057049632167,0.155565439665615
random_polygon_75_0001,random,75,optimal_minimax,0.009898167103528976,12.909971268363293,0.1721329502448439,11.659364828415512,0.1619356226168821,0.36576628798741834,0.026777938085778573,0.9407590027739778,2.1249057049632167,0.155565439665615
random_polygon_75_0001,random,75,optimal_maximin,0.009760749991983175,12.909971268363293,0.1721329502448439,18.36367189519236,0.2550509985443383,0.7554630249452488,0.05702630144654306,1.4817093309651106,4.388834467024875,0.33129218644906855
random_polygon_75_0002,random,75,ear_clipping,0.004839541856199503,12.302539890525408,0.16403386520700544,18.038596213572955,0.25053605852184657,0.8820527279783854,0.015435493843580827,1.5273435043774537,5.377259914379652,0.09409943382180096
random_polygon_75_0002,random,75,optimal_minsum,0.006705999840050936,12.302539890525408,0.16403386520700544,10.210628188039433,0.14181428038943655,0.3929874297744611,0.015435493843580827,0.8645426980000228,2.3957701007564727,0.09409943382180096
random_polygon_75_0002,random,75,optimal_minimax,0.006677208933979273,12.302539890525408,0.16403386520700544,11.62559311553902,0.16146657104915307,0.3929874297744611,0.015435493843580827,0.9843489991861587,2.3957701007564727,0.09409943382180096
random_polygon_75_0002,random,75,optimal_maximin,0.00676945922896266,12.302539890525408,0.16403386520700544,21.63921592019366,0.30054466555824527,0.8820527279783854,0.015435493843580827,1.8322110814066814,5.377259914379652,0.09409943382180096
random_polygon_75_0003,random,75,ear_clipping,0.004650583025068045,12.127664862614587,0.1617021981681945,16.731431523339698,0.23238099337971801,0.6071439291031315,0.015651698785392423,1.4370923587446038,3.7547042401465123,0.09679335817755744
random_polygon_75_0003,random,75,optimal_minsum,0.012129124719649553,12.127664862614587,0.1617021981681945,11.370723836328029,0.1579267199490004,0.37259031354932476,0.015651698785392423,0.9766516580357983,2.304175934341814,0.09679335817755744
random_polygon_75_0003,random,75,optimal_minimax,0.01238879095762968,12.127664862614587,0.1617021981681945,12.558196329316294,0.1744193934627263,0.37259031354932476,0.015651698785392423,1.07864577871294,2.304175934341814,0.09679335817755744
random_polygon_75_0003,random,75,optimal_maximin,0.012420583050698042,12.127664862614587,0.1617021981681945,18.45095159798643,0.2562632166387004,0.787154377251374,0.015651698785392423,1.584784990814709,4.867926263022198,0.09679335817755744
random_polygon_75_0004,random,75,ear_clipping,0.004579000174999237,12.781214092315285,0.17041618789753712,14.796596034791683,0.2055082782609956,0.666357974982083,0.023011412960923155,1.205919935168117,3.910180031621945,0.135030675458829
random_polygon_75_0004,random,75,optimal_minsum,0.011583500076085329,12.781214092315285,0.17041618789753712,10.121971572887148,0.1405829385123215,0.3436659026567369,0.023011412960923155,0.8249388760934326,2.0166270992012,0.135030675458829
random_polygon_75_0004,random,75,optimal_minimax,0.011834915727376938,12.781214092315285,0.17041618789753712,11.004585604481727,0.15284146672891288,0.3436659026567369,0.023011412960923155,0.8968717620934518,2.0166270992012,0.135030675458829
random_polygon_75_0004,random,75,optimal_maximin,0.01189287519082427,12.781214092315285,0.17041618789753712,17.155830100138804,0.2382754180574834,0.6751425150902233,0.023011412960923155,1.3981970902948884,3.961727600057298,0.135030675458829
random_polygon_75_0005,random,75,ear_clipping,0.004354874603450298,12.387392213747859,0.16516522951663812,17.41755230223187,0.24191044864210928,0.7087452884667456,0.02530555053869071,1.4646572365749666,4.2911288928118445,0.15321354629390396
random_polygon_75_0005,random,75,optimal_minsum,0.009418082889169455,12.387392213747859,0.16516522951663812,10.721172090578445,0.14890516792470063,0.39911057964816604,0.02530555053869071,0.9015527563548142,2.4164322043821045,0.15321354629390396
random_polygon_75_0005,random,75,optimal_minimax,0.00952733401209116,12.387392213747859,0.16516522951663812,11.521667247306567,0.16002315621259122,0.39911057964816604,0.02530555053869071,0.9688670955800118,2.4164322043821045,0.15321354629390396
random_polygon_75_0005,random,75,optimal_maximin,0.009583374951034784,12.387392213747859,0.16516522951663812,17.76008088673605,0.24666779009355622,0.6160344423681353,0.02530555053869071,1.4934607654131455,3.7298070796800387,0.15321354629390396
random_polygon_75_0006,random,75,ear_clipping,0.00441308319568634,10.900334586392713,0.14533779448523618,17.472019862060932,0.24266694252862406,0.724935045346846,0.02644975649369534,1.66967541641947,4.987932064845576,0.18198815103377794
random_polygon_75_0006,random,75,optimal_minsum,0.012564833275973797,10.900334586392713,0.14533779448523618,10.059841316576657,0.1397200182857869,0.3407130201458765,0.02644975649369534,0.9613467631090277,2.344283683075204,0.18198815103377794
random_polygon_75_0006,random,75,optimal_minimax,0.012546209152787924,10.900334586392713,0.14533779448523618,11.087461495592724,0.15399252077212117,0.3407130201458765,0.02644975649369534,1.0595490410291328,2.344283683075204,0.18198815103377794
random_polygon_75_0006,random,75,optimal_maximin,0.012712416239082813,10.900334586392713,0.14533779448523618,19.11181057089701,0.2654418134846807,0.9133718387381171,0.0386055325377911,1.8263784339430378,6.284475706908433,0.2656262445327857
random_polygon_75_0007,random,75,ear_clipping,0.00449379114434123,11.67264386219208,0.1556352514958944,15.081299676652444,0.2094624955090617,0.7093108374592603,0.010868678332047856,1.3458550906417703,4.557520424464837,0.06983429671352166
random_polygon_75_0007,random,75,optimal_minsum,0.0087075000628829,11.67264386219208,0.1556352514958944,10.0095233635012,0.13902115782640556,0.4409794824905368,0.010868678332047856,0.8932498035644121,2.8334164545117186,0.06983429671352166
random_polygon_75_0007,random,75,optimal_minimax,0.008912624791264534,11.67264386219208,0.1556352514958944,11.60424937706245,0.16117013023697846,0.4409794824905368,0.010868678332047856,1.0355631432332029,2.8334164545117186,0.06983429671352166
random_polygon_75_0007,random,75,optimal_maximin,0.008906458038836718,11.67264386219208,0.1556352514958944,16.037768809496644,0.2227467890207867,0.7093108374592603,0.010868678332047856,1.4312103901901856,4.557520424464837,0.06983429671352166
random_polygon_75_0008,random,75,ear_clipping,0.004956042394042015,12.686340659234679,0.16915120878979573,18.922520353960298,0.262812782693893,0.8514055321791002,0.030835398409672084,1.5537150728877769,5.033399041428916,0.18229487468807418
